"volcano_number" "volcano_name" "eruption_number" "eruption_category" "area_of_activity" "vei" "start_year" "start_month" "start_day" "evidence_method_dating" "end_year" "end_month" "end_day" "latitude" "longitude" "start_date" "end_date" "eruption_length_in_days"
"74" 273030 "Mayon" 22250 "Confirmed Eruption" NA "2" 2018 1 13 "Historical Observations" 2019 10 12 13.257 123.685 2018-01-13 2019-10-12 637
"75" 251002 "Kadovar" 22246 "Confirmed Eruption" NA "2" 2018 1 5 "Historical Observations" 2020 4 17 -3.608 144.588 2018-01-05 2020-04-17 833
"76" 351020 "Ruiz, Nevado del" 22348 "Uncertain Eruption" NA NA 2017 12 18 "Historical Observations" 2017 12 18 4.892 -75.324 2017-12-18 2017-12-18 0
"77" 272020 "Kanlaon" 22249 "Confirmed Eruption" NA "2" 2017 12 9 "Historical Observations" 2017 12 9 10.412 123.132 2017-12-09 2017-12-09 0
"78" 264020 "Agung" 22241 "Confirmed Eruption" "Summit crater" "3" 2017 11 21 "Historical Observations" 2019 6 13 -8.343 115.508 2017-11-21 2019-06-13 569
"79" 261230 "Dempo" 22248 "Confirmed Eruption" NA "1" 2017 11 9 "Historical Observations" 2017 11 9 -4.016 103.121 2017-11-09 2017-11-09 0
"80" 256010 "Tinakula" 22239 "Confirmed Eruption" NA "3" 2017 10 21 "Historical Observations" 2017 10 26 -10.386 165.804 2017-10-21 2017-10-26 5
"81" 290240 "Sarychev Peak" 22308 "Confirmed Eruption" NA "2" 2017 10 12 "Historical Observations" 2017 11 13 48.092 153.2 2017-10-12 2017-11-13 32
"82" 282090 "Kirishimayama" 22242 "Confirmed Eruption" "Shinmoedake" "2" 2017 10 11 "Historical Observations" 2017 10 17 31.934 130.862 2017-10-11 2017-10-17 6
"83" 257030 "Ambae" 22240 "Confirmed Eruption" NA "3" 2017 9 6 "Historical Observations" 2018 10 30 -15.389 167.835 2017-09-06 2018-10-30 419
"84" 353010 "Fernandina" 22245 "Confirmed Eruption" "SSW caldera rim" "2" 2017 9 4 "Historical Observations" 2017 9 7 -0.37 -91.55 2017-09-04 2017-09-07 3
"85" 344020 "San Cristobal" 22252 "Confirmed Eruption" NA "3" 2017 8 18 "Historical Observations" 2017 11 11 12.702 -87.004 2017-08-18 2017-11-11 85
"86" 261170 "Kerinci" 22273 "Confirmed Eruption" NA "1" 2017 8 13 "Historical Observations" 2017 8 13 -1.697 101.264 2017-08-13 2017-08-13 0
"87" 352090 "Sangay" 22231 "Confirmed Eruption" "Summit crater" "2" 2017 7 20 "Historical Observations" 2017 10 26 -2.005 -78.341 2017-07-20 2017-10-26 98
"88" 264050 "Sangeang Api" 22228 "Confirmed Eruption" "Summit crater" "2" 2017 7 15 "Historical Observations" 2020 3 30 -8.2 119.07 2017-07-15 2020-03-30 989
"89" 233020 "Fournaise, Piton de la" 22224 "Confirmed Eruption" NA "0" 2017 7 14 "Historical Observations" 2017 8 28 -21.244 55.708 2017-07-14 2017-08-28 45
"90" 252120 "Ulawun" 22225 "Confirmed Eruption" NA "1" 2017 6 11 "Historical Observations" 2017 11 3 -5.05 151.33 2017-06-11 2017-11-03 145
"91" 273010 "Bulusan" 22229 "Confirmed Eruption" NA "1" 2017 6 5 "Historical Observations" 2017 6 5 12.769 124.056 2017-06-05 2017-06-05 0
"92" 261140 "Marapi" 22226 "Confirmed Eruption" "Verbeek Crater" "1" 2017 6 4 "Historical Observations" 2017 6 4 -0.38 100.474 2017-06-04 2017-06-04 0
"93" 300130 "Karymsky" 22230 "Confirmed Eruption" NA "3" 2017 6 4 "Historical Observations" 2018 1 27 54.049 159.443 2017-06-04 2018-01-27 237
"94" 357090 "Copahue" 22232 "Confirmed Eruption" "Agrio Crater" "1" 2017 6 4 "Historical Observations" 2018 12 7 -37.856 -71.183 2017-06-04 2018-12-07 551
"95" 345020 "Rincon de la Vieja" 22208 "Confirmed Eruption" "Crater lake" "2" 2017 5 23 "Historical Observations" 2018 3 15 10.83 -85.324 2017-05-23 2018-03-15 296
"96" 267020 "Karangetang" 22212 "Uncertain Eruption" NA NA 2017 5 10 "Historical Observations" 2017 5 10 2.781 125.407 2017-05-10 2017-05-10 0
"97" 263200 "Dieng Volcanic Complex" 22227 "Confirmed Eruption" "Sileri Crater" "1" 2017 4 30 "Historical Observations" 2017 7 2 -7.2 109.879 2017-04-30 2017-07-02 63
"98" 284096 "Nishinoshima" 22207 "Confirmed Eruption" NA "2" 2017 4 18 "Historical Observations" 2017 8 17 27.247 140.874 2017-04-18 2017-08-17 121
"99" 345040 "Poas" 22209 "Confirmed Eruption" NA "1" 2017 4 12 "Historical Observations" 2017 11 6 10.2 -84.233 2017-04-12 2017-11-06 208
"100" 222120 "Lengai, Ol Doinyo" 22284 "Confirmed Eruption" "North Crater" "0" 2017 4 9 "Historical Observations" 2020 3 24 -2.764 35.914 2017-04-09 2020-03-24 1080
"101" 360160 "Kick 'em Jenny" 22260 "Confirmed Eruption" NA "0" 2017 3 29 "Hydrophonic" 2017 3 29 12.3 -61.64 2017-03-29 2017-03-29 0
"102" 282080 "Aira" 22203 "Confirmed Eruption" "Minamidake summit crater" "1" 2017 3 25 "Historical Observations" 2020 4 17 31.593 130.657 2017-03-25 2020-04-17 1119
"103" 300010 "Kambalny" 22198 "Confirmed Eruption" NA "3" 2017 3 24 "Historical Observations" 2017 4 10 51.306 156.875 2017-03-24 2017-04-10 17
