"year" "core_loc" "value"
"604" 680.875 "wdc" 11.279
"605" 680.792 "neem" 7.16
"606" 680.792 "wdc" 10.621
"607" 680.708 "neem" 8.14
"608" 680.708 "wdc" 10.478
"609" 680.625 "neem" 8.97
"610" 680.625 "wdc" 10.825
"611" 680.542 "neem" 10.1
"612" 680.542 "wdc" 11.719
"613" 680.458 "neem" 10.97
"614" 680.458 "wdc" 13.063
"615" 680.375 "neem" 11.25
"616" 680.375 "wdc" 13.946
"617" 680.292 "neem" 11.8
"618" 680.292 "wdc" 14.494
"619" 680.208 "neem" 12.49
"620" 680.208 "wdc" 15.348
"621" 680.125 "neem" 12.46
"622" 680.125 "wdc" 15.785
"623" 680.042 "neem" 12.31
"624" 680.042 "wdc" 15.706
"625" 679.958 "neem" 12.13
"626" 679.958 "wdc" 15.187
"627" 679.875 "neem" 12.17
"628" 679.875 "wdc" 14.932
"629" 679.792 "neem" 12.1
"630" 679.792 "wdc" 15.256
"631" 679.708 "neem" 12.43
"632" 679.708 "wdc" 15.223
"633" 679.625 "neem" 12.76
"634" 679.625 "wdc" 15.79
"635" 679.542 "neem" 12.9
"636" 679.542 "wdc" 16.516
"637" 679.458 "neem" 13.13
"638" 679.458 "wdc" 17.7
"639" 679.375 "neem" 13.02
"640" 679.375 "wdc" 19.394
"641" 679.292 "neem" 13.08
"642" 679.292 "wdc" 21.47
"643" 679.208 "neem" 12.59
"644" 679.208 "wdc" 21.665
"645" 679.125 "neem" 11.42
"646" 679.125 "wdc" 19.705
"647" 679.042 "neem" 10.38
"648" 679.042 "wdc" 16.061
"649" 678.958 "neem" 8.81
"650" 678.958 "wdc" 11.367
"651" 678.875 "neem" 7.18
"652" 678.875 "wdc" 7.677
"653" 678.792 "neem" 6.51
"654" 678.792 "wdc" 5.6409
"655" 678.708 "neem" 6.45
"656" 678.708 "wdc" 9.8013
"657" 678.625 "neem" 6.82
"658" 678.625 "wdc" 11.212
"659" 678.542 "neem" 7.7
"660" 678.542 "wdc" 12.328
"661" 678.458 "neem" 9.12
"662" 678.458 "wdc" 13.246
"663" 678.375 "neem" 10.97
"664" 678.375 "wdc" 13.314
"665" 678.292 "neem" 12.48
"666" 678.292 "wdc" 13.872
"667" 678.208 "neem" 12.61
"668" 678.208 "wdc" 13.122
"669" 678.125 "neem" 11.97
"670" 678.125 "wdc" 10.283
"671" 678.042 "neem" 11.54
"672" 678.042 "wdc" 10.104
"673" 677.958 "neem" 11.54
"674" 677.958 "wdc" 9.6557
"675" 677.875 "neem" 11.69
"676" 677.875 "wdc" 9.6259
"677" 677.792 "neem" 12.69
"678" 677.792 "wdc" 11.55
"679" 677.708 "neem" 14.11
"680" 677.708 "wdc" 12.15
"681" 677.625 "neem" 15.66
"682" 677.625 "wdc" 14.005
"683" 677.542 "neem" 16.66
"684" 677.542 "wdc" 15.913
"685" 677.458 "neem" 17.44
"686" 677.458 "wdc" 17.282
"687" 677.375 "neem" 17.93
"688" 677.375 "wdc" 15.495
"689" 677.292 "neem" 17.99
"690" 677.292 "wdc" 14.908
"691" 677.208 "neem" 17.71
"692" 677.208 "wdc" 14.789
"693" 677.125 "neem" 17.28
"694" 677.125 "wdc" 12.401
"695" 677.042 "neem" 16.64
"696" 677.042 "wdc" 10.778
"697" 676.958 "neem" 16.92
"698" 676.958 "wdc" 8.5107
"699" 676.875 "neem" 18.13
"700" 676.875 "wdc" 7.0884
"701" 676.792 "neem" 17.89
"702" 676.792 "wdc" 6.8412
"703" 676.708 "neem" 14.89
"704" 676.708 "wdc" 7.402
