"volcano_number" "volcano_name" "region" "subregion" "country" "latitude" "longitude" "tectonic_settings" "primary_volcano_type" "elevation" "last_eruption_year" "years_ago" "evidence_category" "population_within_5_km" "population_within_10_km" "population_within_30_km" "population_within_100_km" "major_rock_1" "major_rock_2" "major_rock_3" "major_rock_4" "major_rock_5" "minor_rock_1" "minor_rock_2" "minor_rock_3" "minor_rock_4" "minor_rock_5"
"39" 257070 "Kuwae" "Melanesia and Australia" "Vanuatu" "Vanuatu" -16.829 168.536 "Subduction zone / Intermediate crust (15-25 km)" "Caldera" -2 1974 46 "Eruption Observed" 2836 2836 5725 48609 "Basalt / Picro-Basalt" "Dacite" "Andesite / Basaltic Andesite" " " " " " " " " " " " " " "
"40" 285040 "Shikotsu" "Japan, Taiwan, Marianas" "Hokkaido" "Japan" 42.688 141.38 "Subduction zone / Continental crust (>25 km)" "Caldera" 1320 1979 41 "Eruption Observed" 130474 130474 316816 3096376 "Andesite / Basaltic Andesite" "Dacite" "Rhyolite" " " " " " " " " " " " " " "
"41" 373080 "Krafla" "Iceland and Arctic Ocean" "Iceland (northeastern)" "Iceland" 65.715 -16.728 "Rift zone / Oceanic crust (< 15 km)" "Caldera" 800 1984 36 "Eruption Observed" 384 384 1258 25667 "Basalt / Picro-Basalt" "Rhyolite" "Andesite / Basaltic Andesite" "Dacite" " " " " " " " " " " " "
"42" 265090 "Banda Api" "Indonesia" "Banda Sea" "Indonesia" -4.523 129.881 "Subduction zone / Oceanic crust (< 15 km)" "Caldera" 596 1988 32 "Eruption Observed" 5682 5682 5810 5810 "Dacite" "Andesite / Basaltic Andesite" "Basalt / Picro-Basalt" " " " " " " " " " " " " " "
"43" 264010 "Batur" "Indonesia" "Lesser Sunda Islands" "Indonesia" -8.242 115.375 "Subduction zone / Continental crust (>25 km)" "Caldera" 1717 2000 20 "Eruption Observed" 466899 466899 937766 4289189 "Andesite / Basaltic Andesite" "Dacite" "Trachyandesite / Basaltic Trachyandesite" "Basalt / Picro-Basalt" " " " " " " " " " " " "
"44" 285070 "Akan" "Japan, Taiwan, Marianas" "Hokkaido" "Japan" 43.384 144.013 "Subduction zone / Continental crust (>25 km)" "Caldera" 1499 2008 12 "Eruption Observed" 2062 2062 9756 929538 "Andesite / Basaltic Andesite" "Dacite" "Basalt / Picro-Basalt" "Rhyolite" " " " " " " " " " " " "
"45" 300070 "Gorely" "Kamchatka and Mainland Asia" "Kamchatka Peninsula" "Russia" 52.559 158.03 "Subduction zone / Continental crust (>25 km)" "Caldera" 1799 2010 10 "Eruption Observed" 0 0 19 250293 "Basalt / Picro-Basalt" "Andesite / Basaltic Andesite" "Dacite" " " " " " " " " " " " " " "
"46" 373010 "Grimsvotn" "Iceland and Arctic Ocean" "Iceland (northeastern)" "Iceland" 64.416 -17.316 "Rift zone / Oceanic crust (< 15 km)" "Caldera" 1719 2011 9 "Eruption Observed" 0 0 0 1736 "Basalt / Picro-Basalt" " " " " " " " " " " " " " " " " " "
"47" 284120 "Ioto" "Japan, Taiwan, Marianas" "Izu, Volcano, and Mariana Islands" "Japan" 24.751 141.289 "Subduction zone / Crustal thickness unknown" "Caldera" 169 2012 8 "Eruption Observed" 1179 1179 1189 1370 "Trachyandesite / Basaltic Trachyandesite" "Trachyte / Trachydacite" " " " " " " " " " " " " " " " "
"48" 252080 "Witori" "Melanesia and Australia" "New Britain" "Papua New Guinea" -5.576 150.516 "Subduction zone / Continental crust (>25 km)" "Caldera" 724 2012 8 "Eruption Observed" 24509 24509 37824 145382 "Dacite" "Andesite / Basaltic Andesite" "Rhyolite" " " " " "Basalt / Picro-Basalt" " " " " " " " "
