"volcano_number" "volcano_name" "eruption_number" "eruption_start_year" "event_number" "event_type" "event_remarks" "event_date_year" "event_date_month" "event_date_day"
"174" 332010 "Kilauea" 10091 1960 100218 "Ash" NA NA NA NA
"175" 332010 "Kilauea" 10091 1960 100219 "Bombs" "weak or small" NA NA NA
"176" 332010 "Kilauea" 10091 1960 100220 "Phreatic activity" NA NA NA NA
"177" 332010 "Kilauea" 10091 1960 100221 "Lava flow(s)" NA NA NA NA
"178" 332010 "Kilauea" 10091 1960 100222 "Property damage" NA NA NA NA
"179" 332010 "Kilauea" 10091 1960 100223 "Evacuations" NA NA NA NA
"180" 332010 "Kilauea" 10091 1960 100224 "Lava fountains" NA NA NA NA
"181" 332010 "Kilauea" 10091 1960 100225 "Cinder cone formation" NA NA NA NA
"182" 332010 "Kilauea" 10091 1960 100226 "Volcanic tremor" "Before eruption." NA NA NA
"183" 332010 "Kilauea" 10091 1960 100227 "Earthquakes (undefined)" "Before." NA NA NA
"184" 332010 "Kilauea" 10091 1960 100228 "Pumice" NA NA NA NA
"185" 332010 "Kilauea" 10091 1960 100229 "Lava flow(s)" "Entered water." NA NA NA
"186" 332010 "Kilauea" 10092 1961 100231 "Lava flow(s)" NA NA NA NA
"187" 332010 "Kilauea" 10092 1961 100232 "Lava fountains" NA NA NA NA
"188" 332010 "Kilauea" 10093 1961 100234 "Lava flow(s)" NA NA NA NA
"189" 332010 "Kilauea" 10093 1961 100235 "Lava fountains" NA NA NA NA
"190" 332010 "Kilauea" 10094 1961 100237 "Lava flow(s)" NA NA NA NA
"191" 332010 "Kilauea" 10094 1961 100238 "Lava fountains" NA NA NA NA
"192" 334050 "Northern EPR at 9.8°N" 10338 1875 100240 "Lava flow(s)" NA NA NA NA
"193" 334050 "Northern EPR at 9.8°N" 10339 1950 100243 "Lava flow(s)" NA NA NA NA
"194" 334050 "Northern EPR at 9.8°N" 10340 1988 100246 "Lava flow(s)" NA NA NA NA
"195" 334140 "Southern EPR-Segment I" 10341 1915 100249 "Lava flow(s)" NA NA NA NA
"196" 354020 "Ubinas" 10342 1951 100251 "Explosion" NA NA NA NA
"197" 354020 "Ubinas" 10342 1951 100252 "Ash" NA NA NA NA
"198" 354020 "Ubinas" 10343 1956 100254 "Explosion" NA NA NA NA
"199" 354020 "Ubinas" 10343 1956 100255 "Ash" NA NA NA NA
"200" 354020 "Ubinas" 10343 1956 100256 "Property damage" NA NA NA NA
"201" 334050 "Northern EPR at 9.8°N" 10344 1991 100259 "Lava flow(s)" NA NA NA NA
"202" 334050 "Northern EPR at 9.8°N" 10345 1991 100262 "Lava flow(s)" NA NA NA NA
"203" 334050 "Northern EPR at 9.8°N" 10346 2005 100265 "Lava flow(s)" NA NA NA NA
"204" 334050 "Northern EPR at 9.8°N" 10346 2005 100266 "Earthquakes (undefined)" "Before." NA NA NA
"205" 334050 "Northern EPR at 9.8°N" 10346 2005 100267 "Earthquakes (undefined)" NA NA NA NA
"206" 334070 "Galapagos Rift" 10347 1972 100269 "Lava flow(s)" NA NA NA NA
"207" 334070 "Galapagos Rift" 10347 1972 100270 "Earthquakes (undefined)" NA NA NA NA
"208" 334070 "Galapagos Rift" 10347 1972 100271 "Fauna kill" "Aquatic." NA NA NA
"209" 334130 "Southern EPR-Segment J" 10359 1890 100273 "Lava flow(s)" NA NA NA NA
"210" 334140 "Southern EPR-Segment I" 10360 1620 100276 "Lava flow(s)" NA NA NA NA
"211" 334140 "Southern EPR-Segment I" 10361 1860 100279 "Lava flow(s)" NA NA NA NA
"212" 341001 "Pinacate" 10365 1928 100283 "Explosion" "Uncertain" NA NA NA
"213" 341001 "Pinacate" 10365 1928 100284 "Ash" "Uncertain" NA NA NA
"214" 341001 "Pinacate" 10366 1934 100285 "Explosion" "Uncertain" NA NA NA
"215" 341001 "Pinacate" 10366 1934 100286 "Ash" "Uncertain" NA NA NA
"216" 341021 "Socorro" 10370 -3090 100294 "Explosion" NA NA NA NA
"217" 341021 "Socorro" 10370 -3090 100295 "Lava flow(s)" NA NA NA NA
"218" 341021 "Socorro" 10370 -3090 100296 "Lava flow(s)" "Entered water." NA NA NA
"219" 341021 "Socorro" 10373 1905 100299 "Phreatic activity" "Uncertain" NA NA NA
"220" 341021 "Socorro" 10374 1951 100301 "Phreatic activity" NA NA NA NA
"221" 341021 "Socorro" 10374 1951 100302 "Blocks" NA NA NA NA
"222" 6e+05 "Unknown Source" 10375 -3201 100303 "Explosion" NA NA NA NA
"223" 341090 "Popocatepetl" 10376 1518 100305 "Explosion" "Uncertain" NA NA NA
"224" 341030 "Ceboruco" 10383 1870 100307 "Lava flow(s)" "violent, strong, or large" NA NA NA
"225" 341030 "Ceboruco" 10383 1870 100308 "Lava dome formation" NA NA NA NA
"226" 341030 "Ceboruco" 10383 1870 100309 "Property damage" NA NA NA NA
"227" 341030 "Ceboruco" 10383 1870 100310 "Evacuations" NA NA NA NA
